Tên sản phẩm,Danh Mục,Thương hiệu,JSON Attributes,Link Shop,Giá
Áo sát nách Sleeveless tanktop thể thao Active Essentials thấm hút Coolmate,Áo thun ,Coolmate,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""Coolmate"",""Chất liệu"":""100% Polyester"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè, Bốn mùa"",""Tính năng"":""Thấm hút tốt, Thoáng khí, Nhanh khô, Siêu nhẹ"",""Hoàn cảnh"":""Tập Gym, Chạy bộ, Chơi thể thao, Mặc nhà"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Tank top""}",https://shopee.vn/%C3%81o-s%C3%A1t-n%C3%A1ch-Sleeveless-tanktop-th%E1%BB%83-thao-Active-Essentials-th%E1%BA%A5m-h%C3%BAt-Coolmate-i.24710134.24169579811?extraParams=%7B%22display_model_id%22%3A89530887472%2C%22model_selection_logic%22%3A3%7D,99.000đ
Áo ba lỗ Singlet Nam thể thao Chạy Bộ Graphic Dot Coolmate,Áo thun ,Coolmate,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""Coolmate"",""Chất liệu"":""100% Polyester"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao"",""Mẫu"":""Graphic Dot"",""Mùa"":""Mùa hè, Bốn mùa"",""Tính năng"":""Siêu nhẹ, Thoáng khí, Thấm hút tốt, Nhanh khô"",""Hoàn cảnh"":""Chạy bộ, Marathon, Tập thể thao"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Áo ba lỗ""}",https://shopee.vn/%C3%81o-ba-l%E1%BB%97-Singlet-Nam-th%E1%BB%83-thao-Ch%E1%BA%A1y-B%E1%BB%99-Tho%C3%A1ng-Kh%C3%AD-Graphic-Dot-si%C3%AAu-nh%E1%BA%B9-tho%C3%A1ng-kh%C3%AD-th%E1%BA%A5m-h%C3%BAt-Coolmate-i.24710134.26615550802?extraParams=%7B%22display_model_id%22%3A197916883387%2C%22model_selection_logic%22%3A3%7D,149.000đ
Áo ba lỗ nam basic YODY form regular thoáng mát thoải mái MFTA25A001,Áo thun ,YODY,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""YODY"",""Chất liệu"":""Cotton phối"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Cơ bản, Năng động"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa, Mùa hè"",""Tính năng"":""Thoáng mát, Thấm hút tốt, Co giãn"",""Hoàn cảnh"":""Mặc nhà, Tập thể thao, Mặc lót"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Áo ba lỗ""}",https://shopee.vn/%C3%81o-ba-l%E1%BB%95-nam-basic-YODY-form-regular-tho%C3%A1ng-m%C3%A1t-tho%E1%BA%A3i-m%C3%A1i-MFTA25A001-i.173392916.42609553619?extraParams=%7B%22display_model_id%22%3A290799976468%2C%22model_selection_logic%22%3A3%7D&sp_atk=28ec9abb-7582-43fd-9dcb-2feb54873d70&xptdk=28ec9abb-7582-43fd-9dcb-2feb54873d70,229.000đ
Áo ba lỗ nam lót trong Guzado Chất Cotton Siêu Mềm Thấm Hút GTT08,Áo thun ,GUZADO,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""Guzado"",""Chất liệu"":""100% Cotton"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Cơ bản"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Siêu mềm, Thấm hút mồ hôi, Thoáng khí, Co giãn"",""Hoàn cảnh"":""Mặc lót, Mặc nhà, Tập thể thao"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Áo ba lỗ""}",https://shopee.vn/%C3%81o-ba-l%E1%BB%97-nam-l%C3%B3t-trong-Guzado-Ch%E1%BA%A5t-Cotton-Si%C3%AAu-M%E1%BB%81m-Th%E1%BA%A5m-H%C3%BAt-M%E1%BB%93-H%C3%B4i-C%E1%BB%B1c-T%E1%BB%91t-GTT08-i.201774917.13293373762?extraParams=%7B%22display_model_id%22%3A97813888801%2C%22model_selection_logic%22%3A3%7D,95.000đ
Áo ba lỗ nam thể thao AVANCOMAN thun lạnh lỗ kim thoáng mát,Áo thun ,AVANCOMAN,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""AVANCOMAN"",""Chất liệu"":""Thun lạnh lỗ kim"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè"",""Tính năng"":""Thấm hút tốt, Thoáng mát, Co giãn"",""Hoàn cảnh"":""Tập Gym, Chạy bộ, Thể thao, Mặc nhà"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Tank top""}",https://shopee.vn/%C3%81o-ba-l%E1%BB%97-nam-th%E1%BB%83-thao-AVANCOMAN-thun-l%E1%BA%A1nh-l%E1%BB%97-kim-th%E1%BA%A5m-h%C3%BAt-v%C3%A0-tho%C3%A1ng-m%C3%A1t-g%E1%BA%A5p-%C4%91%C3%B4i-m%E1%BA%ABu-m%E1%BB%9Bi-2025-i.198069764.28405908921?extraParams=%7B%22display_model_id%22%3A185256627625%2C%22model_selection_logic%22%3A3%7D,100.000đ
Áo ba lỗ nam TOKYOLIFE vải thun lạnh siêu mát mùa hè thấm hút mồ hôi mặc nhà tập gym,Áo thun,TOKYOLIFE,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""TOKYOLIFE"",""Chất liệu"":""Thun lạnh"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thường ngày, Thể thao"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè"",""Tính năng"":""Mát lạnh, thấm hút"",""Hoàn cảnh"":""Mặc nhà, Tập gym"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Slimfit""}",null,120.000 đ
Áo Ba Lỗ Nam TOKYOLIFE SunStop Kháng Khuẩn Khử Mùi Thoáng Khí Chuyên Dụng TL-BL01,Áo thun,TOKYOLIFE,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""TOKYOLIFE"",""Chất liệu"":""Cotton pha Spandex"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Cơ bản"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè"",""Tính năng"":""Kháng khuẩn, khử mùi"",""Hoàn cảnh"":""Mặc lót, Mặc ngủ"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ chữ U"",""Kiểu áo thun"":""Regular Fit""}",null,150.000 đ
Áo Tanktop TOKYOLIFE Essential Ribbed Cotton Basic Undershirt Dành Cho Nam,Áo thun,TOKYOLIFE,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""TOKYOLIFE"",""Chất liệu"":""Cotton gân (Ribbed)"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Minimalist"",""Mẫu"":""Gân tăm"",""Mùa"":""Mùa hè"",""Tính năng"":""Co giãn tốt, ôm dáng"",""Hoàn cảnh"":""Mặc hàng ngày, Đi biển"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Bodyfit""}",null,180.000 đ
Áo thun ba lỗ nam ROWAY form rộng phong cách thể thao đường phố năng động vải cotton co giãn,Áo thun,ROWAY,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""ROWAY"",""Chất liệu"":""Cotton 2 chiều"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Đường phố, Năng động"",""Mẫu"":""In logo nhỏ"",""Mùa"":""Mùa hè"",""Tính năng"":""Thoáng khí"",""Hoàn cảnh"":""Dạo phố, Chơi thể thao"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Oversize""}",null,165.000 đ
Áo Ba Lỗ Thể Thao Nam ROWAY Vải Mesh Lưới Tập Gym Chạy Bộ Nhanh Khô RW-BL05,Áo thun,ROWAY,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""ROWAY"",""Chất liệu"":""Vải Mesh lỗ kim"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao chuyên dụng"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè"",""Tính năng"":""Nhanh khô, siêu nhẹ"",""Hoàn cảnh"":""Tập Gym, Chạy bộ"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn rộng"",""Kiểu áo thun"":""Athletic Fit""}",null,145.000 đ
